iter	RMSE
0	15.14259177
1	15.000461
2	14.85840843
3	14.72007108
4	14.58157626
5	14.4448515
6	14.30902638
7	14.17632318
8	14.04329304
9	13.91168839
10	13.78167048
11	13.65366924
12	13.52606791
13	13.40063997
14	13.27488273
15	13.1509947
16	13.02859795
17	12.90861623
18	12.79006749
19	12.67289015
20	12.55564154
21	12.43958823
22	12.32399712
23	12.21096483
24	12.0983816
25	11.98850819
26	11.87836997
27	11.76923935
28	11.66219658
29	11.55488645
30	11.44954947
31	11.34499678
32	11.24089644
33	11.13864245
34	11.03642275
35	10.93721846
36	10.83815136
37	10.73956277
38	10.64243727
39	10.54607863
40	10.45127626
41	10.35759867
42	10.26456132
43	10.1725948
44	10.08165652
45	9.990660799
46	9.898971391
47	9.809404358
48	9.724470174
49	9.63835445
50	9.552492408
51	9.468256421
52	9.384274278
53	9.301644329
54	9.219659427
55	9.139183684
56	9.05903387
57	8.978718597
58	8.899830138
59	8.82236678
60	8.746013468
61	8.669761025
62	8.594013751
63	8.519970645
64	8.445768597
65	8.373318074
66	8.301972146
67	8.230832096
68	8.159957937
69	8.090632369
70	8.021943919
71	7.953985905
72	7.88522429
73	7.815822578
74	7.749399799
75	7.680664188
76	7.617543524
77	7.553651337
78	7.49045745
79	7.427680701
80	7.366574214
81	7.306620672
82	7.245178665
83	7.185610277
84	7.127362791
85	7.069261189
86	7.011866264
87	6.954618471
88	6.898400268
89	6.844500662
90	6.789543436
91	6.734627074
92	6.68169407
93	6.629099977
94	6.577841364
95	6.525608506
96	6.472502663
97	6.417768317
98	6.368067547
99	6.319752204
100	6.26757301
101	6.219802779
102	6.171995921
103	6.121102977
104	6.070816211
105	6.021476717
106	5.976410055
107	5.930993233
108	5.883294142
109	5.837515581
110	5.793427076
111	5.750728158
112	5.70712809
113	5.665553749
114	5.62427967
115	5.58137359
116	5.541192698
117	5.501442387
118	5.462293835
119	5.42342714
120	5.38208346
121	5.343512224
122	5.301381035
123	5.260089092
124	5.221957377
125	5.184966072
126	5.148783335
127	5.111934555
128	5.076600484
129	5.041567456
130	5.003476822
131	4.970108405
132	4.936240174
133	4.902925019
134	4.87033727
135	4.836861247
136	4.80147611
137	4.770554617
138	4.741529193
139	4.710918905
140	4.679384408
141	4.650187527
142	4.620755534
143	4.587828697
144	4.560491368
145	4.531777215
146	4.503424238
147	4.47662535
148	4.445973398
149	4.417012242
150	4.390708312
151	4.3650563
152	4.339350024
153	4.310584191
154	4.281661234
155	4.257023491
156	4.229019505
157	4.204991336
158	4.181234947
159	4.156481086
160	4.129285122
161	4.104604528
162	4.080415092
163	4.054855488
164	4.033326997
165	4.008692737
166	3.987727174
167	3.966837405
168	3.941914525
169	3.921150412
170	3.901253006
171	3.880062378
172	3.860752648
173	3.840781227
174	3.820867837
175	3.7985585
176	3.776013998
177	3.758549288
178	3.736571221
179	3.71470945
180	3.69725833
181	3.677872482
182	3.657151109
183	3.640323975
184	3.623647409
185	3.605860482
186	3.590058873
187	3.573682611
188	3.55460735
189	3.538520721
190	3.520209092
191	3.504911561
192	3.491171259
193	3.47504867
194	3.460933391
195	3.446432185
196	3.432780699
197	3.418962364
198	3.401503837
199	3.386057983
200	3.373151268
201	3.3562079
202	3.343599955
203	3.328690798
204	3.316587863
205	3.303993958
206	3.289513014
207	3.277063867
208	3.265417711
209	3.253947914
210	3.242687685
211	3.227489331
212	3.217383014
213	3.203256606
214	3.188410326
215	3.178147853
216	3.163997865
217	3.150075099
218	3.136178161
219	3.12385296
220	3.111085038
221	3.101349402
222	3.092054607
223	3.079217048
224	3.067395141
225	3.058392012
226	3.049592464
227	3.037470824
228	3.028852886
229	3.020028349
230	3.011798285
231	3.003785162
232	2.992825443
233	2.981937669
234	2.974546576
235	2.963791811
236	2.956188498
237	2.945917977
238	2.935030946
239	2.924333247
240	2.913651261
241	2.906498623
242	2.899591958
243	2.893053597
244	2.883755579
245	2.873815889
246	2.864901112
247	2.855219273
248	2.846021596
249	2.840041003
250	2.833482496
251	2.827739771
252	2.819156041
253	2.813457742
254	2.804812733
255	2.799509592
256	2.790925141
257	2.785638861
258	2.780156545
259	2.775031445
260	2.766923727
261	2.758902265
262	2.751241968
263	2.743632136
264	2.737827623
265	2.731999906
266	2.727733503
267	2.723387743
268	2.719134759
269	2.71469598
270	2.710123899
271	2.703368299
272	2.696669686
273	2.691699564
274	2.687751241
275	2.681244007
276	2.677530317
277	2.672601792
278	2.666184793
279	2.662431756
280	2.6586038
281	2.652504005
282	2.648655523
283	2.642431361
284	2.636488289
285	2.630884941
286	2.627244732
287	2.624011111
288	2.618801387
289	2.613751812
290	2.608636007
291	2.605430624
292	2.600419384
293	2.594754441
294	2.58948488
295	2.58675167
296	2.58406687
297	2.581434554
298	2.576466601
299	2.573941684
300	2.571393059
301	2.567173595
302	2.564341257
303	2.561963841
304	2.557080502
305	2.555015096
306	2.552778922
307	2.549327246
308	2.545035776
309	2.540716039
310	2.536663877
311	2.532320682
312	2.527848545
313	2.525802839
314	2.523768253
315	2.519639564
316	2.517446825
317	2.514906955
318	2.512611726
319	2.508380342
320	2.506245611
321	2.503672275
322	2.501825721
323	2.500084133
324	2.497746698
325	2.495697545
326	2.492094941
327	2.490184333
328	2.488433109
329	2.486741072
330	2.485048881
331	2.483441844
332	2.480080428
333	2.476550359
334	2.475080754
335	2.47341563
336	2.470408852
337	2.469091376
338	2.467699995
339	2.464483764
340	2.461494444
341	2.458519437
342	2.45552556
343	2.453846159
344	2.451859691
345	2.450185982
346	2.447210205
347	2.444519463
348	2.441591823
349	2.43955536
350	2.438328081
351	2.436402414
352	2.434962268
353	2.432759848
354	2.431501434
355	2.430097492
356	2.428944985
357	2.426782526
358	2.425143445
359	2.422785891
360	2.420366517
361	2.419365356
362	2.416717595
363	2.415866926
364	2.414970058
365	2.413878142
366	2.412559596
367	2.410164127
368	2.407701519
369	2.406620474
370	2.405552851
371	2.404802882
372	2.403875496
373	2.401436889
374	2.399035463
375	2.396948662
376	2.395876241
377	2.394975593
378	2.392734688
379	2.391826707
380	2.390060283
381	2.389136697
382	2.386967842
383	2.386293149
384	2.385575616
385	2.384696682
386	2.382701169
387	2.38051354
388	2.378363485
389	2.377817353
390	2.375801024
391	2.375267414
392	2.374593163
393	2.373957324
394	2.372950731
395	2.372118618
396	2.371303461
397	2.369909139
398	2.367886264
399	2.367304842
400	2.366532352
401	2.365464291
402	2.364599396
403	2.364044023
404	2.36227198
405	2.36156804
