iter	Passed	Remaining
0	29	293812
1	57	287350
2	90	303195
3	111	279172
4	143	286345
5	167	278909
6	197	282049
7	212	265656
8	239	265526
9	257	256928
10	285	258880
11	303	252502
12	330	253969
13	350	249820
14	374	249555
15	395	246505
16	422	248299
17	441	244780
18	469	246743
19	488	243953
20	513	244236
21	529	239967
22	555	240867
23	570	237295
24	600	239540
25	618	237351
26	645	238469
27	662	235792
28	689	237165
29	707	235096
30	735	236601
31	753	234735
32	778	235120
33	797	233734
34	823	234552
35	842	233222
36	868	233967
37	888	232945
38	917	234363
39	937	233536
40	965	234617
41	987	234238
42	1031	238760
43	1067	241462
44	1115	246664
45	1132	245027
46	1173	248575
47	1204	249703
48	1238	251522
49	1262	251158
50	1295	252749
51	1316	251851
52	1351	253605
53	1371	252619
54	1402	253645
55	1427	253399
56	1460	254712
57	1485	254664
58	1513	255042
59	1530	253612
60	1558	253952
61	1578	252960
62	1604	253050
63	1622	251861
64	1648	252023
65	1663	250449
66	1692	250868
67	1709	249636
68	1738	250218
69	1755	249058
70	1786	249818
71	1805	248931
72	1836	249713
73	1855	248855
74	1882	249141
75	1899	247988
76	1932	249103
77	1950	248074
78	1977	248331
79	1996	247515
80	2024	247969
81	2042	247065
82	2070	247446
83	2087	246415
84	2116	246883
85	2132	245810
86	2166	246800
87	2188	246508
88	2216	246879
89	2233	245977
90	2260	246168
91	2276	245174
92	2305	245555
93	2323	244805
94	2350	245107
95	2369	244477
96	2401	245169
97	2423	244894
98	2452	245306
99	2470	244553
100	2497	244748
101	2513	243919
102	2540	244145
103	2557	243371
104	2587	243838
105	2604	243076
106	2629	243157
107	2646	242421
108	2676	242863
109	2694	242289
110	2723	242596
111	2741	242032
112	2770	242407
113	2786	241647
114	2816	242067
115	2835	241586
116	2862	241833
117	2883	241508
118	2913	241923
119	2933	241552
120	2962	241884
121	2980	241300
122	3009	241667
123	3028	241196
124	3057	241504
125	3076	241096
126	3103	241290
127	3125	241065
128	3155	241432
129	3171	240789
130	3198	240980
131	3215	240384
132	3236	240130
133	3264	240360
134	3281	239798
135	3308	239952
136	3326	239475
137	3343	238923
138	3364	238680
139	3401	239563
140	3445	240915
141	3493	242541
142	3524	242942
143	3559	243606
144	3579	243312
145	3616	244112
146	3637	243802
147	3666	244040
148	3687	243818
149	3719	244266
150	3739	243915
151	3774	244516
152	3801	244659
153	3840	245567
154	3866	245563
155	3902	246262
156	3926	246140
157	3959	246626
158	3986	246749
159	4027	247717
160	4048	247429
161	4080	247801
162	4098	247341
163	4127	247566
164	4145	247078
165	4174	247301
166	4191	246773
167	4221	247048
168	4237	246492
169	4265	246673
170	4282	246149
171	4308	246172
172	4324	245657
173	4358	246157
174	4384	246184
175	4421	246798
176	4445	246733
177	4479	247189
178	4500	246899
179	4533	247316
180	4556	247162
181	4590	247634
182	4617	247722
183	4649	248026
184	4674	248004
185	4713	248689
186	4736	248573
187	4772	249078
188	4791	248708
189	4828	249296
190	4857	249447
191	4889	249789
192	4919	249994
193	4968	251162
194	4990	250932
195	5029	251555
196	5049	251266
197	5079	251464
198	5099	251175
199	5128	251315
200	5144	250783
201	5179	251245
202	5203	251113
203	5236	251437
204	5258	251231
205	5293	251651
206	5316	251538
207	5350	251879
208	5371	251618
209	5403	251925
210	5423	251635
211	5455	251900
212	5475	251580
213	5509	251931
214	5531	251755
215	5565	252117
216	5585	251833
217	5622	252301
218	5650	252384
219	5684	252712
220	5706	252516
221	5739	252816
222	5761	252588
223	5788	252643
224	5809	252411
225	5835	252391
226	5857	252198
227	5883	252174
228	5902	251828
229	5927	251790
230	5943	251330
231	5972	251475
232	5989	251079
233	6018	251190
234	6035	250791
235	6062	250820
236	6075	250284
237	6101	250263
238	6115	249766
239	6141	249759
240	6156	249308
241	6183	249342
242	6199	248907
243	6222	248805
244	6239	248436
245	6265	248432
246	6282	248062
247	6311	248186
248	6328	247828
249	6353	247791
250	6368	247339
251	6395	247408
252	6411	246998
253	6436	246984
254	6452	246577
255	6479	246629
256	6494	246216
257	6520	246213
258	6538	245918
259	6566	245979
260	6592	245978
261	6628	246368
262	6652	246292
263	6691	246792
264	6712	246583
265	6746	246891
266	6766	246650
267	6797	246854
268	6816	246592
269	6844	246669
270	6862	246371
271	6890	246438
272	6908	246153
273	6938	246307
274	6956	246015
275	6984	246086
276	7003	245845
277	7022	245583
278	7051	245701
279	7069	245408
280	7096	245441
281	7113	245139
282	7145	245353
283	7162	245024
284	7190	245098
285	7206	244758
286	7236	244904
287	7252	244585
288	7281	244661
